id_contrato;cpf;dt_contratacao;produto;canal_originacao;valor_contratado;prazo_meses;taxa_juros_am;limite_aprovado;score_bureau;renda_declarada;idade;uf;sexo;status_contrato;fpd_15;over30_3m;over60_6m
C0023008;DA52JQHAMHN;01/12/2025;Empréstimo Pessoal;Site;R$ 1.059,27;18;6,68;R$ 2.163,76;622;R$ 780,00;48;DF;M;Ativo;0;0;SIM
C0042106;B49DY5NN3G2;16/09/2025;Empréstimo Pessoal;App;R$ 597,03;12;10,86;R$ 1.412,94;611;R$ 5.240,00;21;CE;F;Quitado;0;0;NAO
C0047377;VXN5RGM2V5M;20/09/2025;Empréstimo Pessoal;App;R$ 1.115,36;6;9,93;R$ 2.193,18;764;R$ 2.180,00;45;PR;M;Quitado;0;0;NAO
C0013229;8LEZKKZJSR5;19/09/2025;Cartão;Site;R$ 922,67;6;5,54;R$ 2.139,56;743;R$ 3.330,00;47;SP;F;Ativo;0;0;NAO
C0044992;66SZCF2FNKS;11/09/2025;CDC;Site;R$ 1.521,47;6;9,16;R$ 3.014,01;720;R$ 1.390,00;50;RS;F;Quitado;0;0;NAO
C0024204;5H577LTQTRD;23/09/2025;Cartão;App;R$ 492,96;18;8,68;R$ 898,88;610;R$ 2.390,00;54;MG;F;Ativo;0;0;NAO
C0045343;88WLQ6HPA2J;06/08/2025;Empréstimo Pessoal;Parceiro;R$ 970,92;18;8,69;R$ 1.147,89;648;R$ 2.980,00;55;SC;F;Ativo;0;0;NAO
C0035532;E59WU5NCU6R;05/09/2025;Empréstimo Pessoal;App;R$ 1.661,76;9;18,00;R$ 1.734,00;431;R$ 1.990,00;38;PE;F;Quitado;0;0;NAO
C0024776;LSAGKG4PK8L;28/09/2025;Empréstimo Pessoal;Loja;R$ 725,70;10;9,41;R$ 1.681,28;;R$ 3.810,00;33;RJ;M;Ativo;0;0;NAO
C0022147;SU8FEWNULPH;23/07/2025;Empréstimo Pessoal;App;R$ 952,35;9;5,98;R$ 2.024,33;807;R$ 2.090,00;44;GO;M;Ativo;0;0;NAO
C0017283;U9R8U75ALC2;21/06/2025;Empréstimo Pessoal;Parceiro;R$ 352,91;12;9,18;R$ 603,62;577;R$ 2.860,00;54;SP;M;Cancelado;0;0;NAO
C0020614;4774NJRMY98;09/12/2025;Crediário;Loja;R$ 472,84;9;18,00;R$ 899,50;341;R$ 2.390,00;26;CE;F;Ativo;1;1;SIM
C0011379;TQYE9P9TEWS;18/09/2025;Empréstimo Pessoal;Loja;R$ 2.011,88;6;10,72;R$ 2.017,30;587;R$ 2.890,00;33;BA;M;Cancelado;0;0;NAO
C0025462;R9FLXY6ATSP;29/08/2025;Crediário;Site;R$ 732,69;9;8,89;R$ 1.742,25;672;R$ 1.870,00;31;MG;M;Cancelado;0;0;NAO
C0033196;M2LY5M98AMV;05/07/2025;Crediário;Loja;R$ 681,26;10;7,67;R$ 1.344,12;686;R$ 1.970,00;32;RS;F;Quitado;0;0;NAO
C0012697;X8MUELHGEBK;20/06/2025;Empréstimo Pessoal;App;R$ 1.598,23;3;9,83;R$ 3.047,25;600;R$ 2.990,00;44;MG;M;Ativo;0;0;NAO
C0031403;ZYQSXHKUE8R;17/10/2025;Empréstimo Pessoal;Loja;R$ 430,46;24;2,50;R$ 836,00;809;R$ 2.490,00;25;PR;F;Cancelado;0;0;NAO
C0050105;5C7STT3ACSE;07/09/2025;Crediário;Site;R$ 464,96;12;13,39;R$ 951,60;596;;44;CE;M;Ativo;1;1;SIM
C0037755;GVYUJBY4HDF;03/12/2025;Empréstimo Pessoal;App;R$ 1.161,79;18;9,30;R$ 2.347,06;626;R$ 4.540,00;45;PA;M;Ativo;0;1;SIM
C0023119;9MNX8KCNHQK;04/06/2025;Crediário;Parceiro;R$ 381,77;12;8,66;R$ 447,89;740;;52;GO;M;Quitado;0;0;NAO
C0009155;ZK4WGACHDXF;16/10/2025;Empréstimo Pessoal;App;R$ 787,03;18;13,48;R$ 1.415,18;627;R$ 2.300,00;42;PE;M;Ativo;0;0;NAO
C0028591;2C7ZQM4WJT6;28/09/2025;Cartão;Parceiro;R$ 736,87;18;12,77;R$ 1.729,63;548;R$ 3.940,00;35;RS;F;Ativo;1;1;SIM
C0000430;DQBWKGA643B;04/08/2025;Empréstimo Pessoal;App;R$ 580,51;9;12,03;R$ 1.038,18;564;R$ 4.080,00;18;SP;F;Ativo;0;0;NAO
C0049752;Y27SQB6JZTD;05/08/2025;CDC;Loja;R$ 777,42;18;8,49;R$ 1.088,15;731;R$ 5.610,00;58;BA;M;Ativo;0;0;NAO
C0046054;V37MBJJWGMN;14/08/2025;Empréstimo Pessoal;App;R$ 1.053,72;12;7,47;R$ 2.197,83;669;R$ 1.370,00;37;PE;M;Ativo;0;0;NAO
C0031025;AXP2DWRWLCK;05/11/2025;CDC;Loja;R$ 975,60;6;13,93;R$ 1.031,08;548;;58;RJ;M;Quitado;0;0;NAO
C0011532;DEZRM46DR7E;28/09/2025;Crediário;App;R$ 741,41;24;13,53;R$ 1.258,57;517;R$ 2.290,00;50;MG;M;Ativo;0;1;SIM
C0009926;YVCDVVW2NK7;20/08/2025;Cartão;App;R$ 978,93;12;4,18;R$ 1.292,88;650;R$ 3.160,00;19;RJ;F;Ativo;0;0;NAO
C0032487;5SKV952S48S;05/07/2025;Crediário;Site;R$ 518,89;18;14,99;R$ 1.149,97;591;R$ 7.140,00;18;BA;F;Cancelado;0;0;SIM
C0002837;C3G5FSZRP2A;20/07/2025;Empréstimo Pessoal;App;R$ 1.071,73;6;11,80;R$ 1.593,26;495;R$ 2.300,00;42;SP;M;Ativo;0;0;NAO
C0044447;25QLUFC5TNW;28/06/2025;Cartão;Loja;R$ 645,06;9;10,07;R$ 1.544,61;592;R$ 3.130,00;37;MG;M;Ativo;1;1;SIM
C0035121;4UZYHKPUVA5;28/09/2025;Cartão;Site;R$ 198,95;9;5,27;R$ 396,64;691;;52;GO;F;Cancelado;0;1;SIM
C0046606;CNGPC7V8GVF;01/08/2025;Empréstimo Pessoal;App;R$ 1.971,99;3;10,46;R$ 3.146,40;545;R$ 4.230,00;41;PR;M;Cancelado;0;0;NAO
C0012255;7F4XSDVNBFC;08/07/2025;Cartão;App;R$ 460,70;9;8,34;R$ 968,04;650;R$ 1.470,00;39;MG;M;Cancelado;0;0;NAO
C0008474;R85FS42RH3Q;01/08/2025;Empréstimo Pessoal;App;R$ 1.819,89;6;11,67;R$ 2.757,68;594;R$ 4.360,00;41;MG;M;Cancelado;0;0;NAO
C0011663;DG527ZEBTTP;19/08/2025;CDC;Loja;R$ 2.556,34;18;18,00;R$ 5.887,03;446;R$ 3.140,00;59;PE;M;Quitado;0;1;SIM
C0011648;SCE6536Z24Q;24/07/2025;Empréstimo Pessoal;Loja;R$ 1.110,06;18;7,09;R$ 1.459,61;671;R$ 2.000,00;62;PE;M;Quitado;0;0;NAO
C0026915;6TGBXPQJBHZ;20/09/2025;Cartão;App;R$ 1.093,10;9;8,10;R$ 1.962,39;630;R$ 3.360,00;31;RS;F;Ativo;1;1;SIM
C0038974;WEAL4EZ9UR6;05/09/2025;CDC;Site;R$ 1.039,27;9;10,66;R$ 2.163,68;606;R$ 1.690,00;36;SP;M;Ativo;0;0;NAO
C0006390;Y9U4J3QKG5Y;29/09/2025;Crediário;Loja;R$ 920,72;12;12,01;R$ 2.079,03;562;;41;PR;M;Quitado;0;0;SIM
C0039922;QSVYF55YTWA;05/08/2025;Cartão;Parceiro;R$ 584,99;12;6,89;R$ 946,28;756;R$ 1.750,00;37;SP;F;Ativo;0;0;NAO
C0051416;6AAU6W45TKV;24/07/2025;Empréstimo Pessoal;Site;R$ 831,98;24;2,50;R$ 881,43;877;R$ 2.530,00;18;SP;M;Ativo;0;0;NAO
C0040977;AW89JWVX79Z;13/06/2025;Crediário;Site;R$ 287,39;6;12,59;R$ 629,70;559;R$ 3.140,00;19;SP;M;Quitado;0;0;NAO
C0010658;Y732U58D2AL;12/10/2025;Empréstimo Pessoal;Site;R$ 637,23;12;8,12;R$ 1.222,99;659;R$ 3.340,00;43;PR;F;Ativo;0;0;NAO
C0025745;85MQAT4Y5RB;24/06/2025;Empréstimo Pessoal;Loja;R$ 1.239,70;3;3,97;R$ 1.986,42;734;R$ 4.720,00;33;SP;F;Cancelado;0;0;NAO
C0020636;ZHQ2UHMTDMQ;22/07/2025;Cartão;App;R$ 2.237,64;9;11,82;R$ 3.534,02;587;R$ 4.380,00;41;SC;F;Cancelado;0;1;SIM
C0000096;ZCRXZP72GXZ;18/10/2025;Empréstimo Pessoal;Site;R$ 4.336,43;6;6,66;R$ 5.663,30;623;;53;PA;M;Cancelado;0;0;NAO
C0042869;26WCMPLQ32E;02/08/2025;CDC;Site;R$ 407,72;9;10,59;R$ 549,64;598;R$ 3.660,00;60;SP;F;Ativo;0;0;SIM
C0047300;S4UXRS4F6WA;03/11/2025;Cartão;Site;R$ 691,28;18;12,53;R$ 1.565,74;559;;46;SC;F;Ativo;0;1;SIM
C0012252;GKN2P8VM8TK;13/09/2025;Crediário;Parceiro;R$ 1.238,52;18;4,49;R$ 2.098,36;735;R$ 2.000,00;18;PE;M;Quitado;0;0;NAO
C0038975;7BESPYQANJK;09/11/2025;Empréstimo Pessoal;Site;R$ 849,03;6;8,44;R$ 1.617,74;723;R$ 2.200,00;47;RJ;F;Ativo;0;0;NAO
C0029007;5S7Y9DBYKYM;05/10/2025;Empréstimo Pessoal;Site;R$ 801,54;6;7,37;R$ 1.569,75;663;R$ 6.090,00;24;CE;F;Ativo;0;0;NAO
C0018739;YAU5DP6KVZU;08/06/2025;Crediário;Site;R$ 353,86;24;10,27;R$ 777,02;656;R$ 2.310,00;33;GO;M;Ativo;0;0;NAO
C0040590;HDKK524M82K;16/08/2025;Cartão;App;R$ 1.846,73;18;12,80;R$ 4.176,35;575;R$ 3.440,00;33;RJ;F;Ativo;0;0;NAO
C0045718;RATRMCQQBDF;12/08/2025;Empréstimo Pessoal;Parceiro;R$ 526,28;18;10,64;R$ 724,97;640;R$ 5.420,00;29;RS;F;Ativo;0;0;NAO
C0004002;JHUW9HKF83L;30/10/2025;Empréstimo Pessoal;Loja;R$ 1.010,00;6;16,88;R$ 1.297,27;;;39;DF;F;Cancelado;1;1;SIM
C0019944;QJBKHQ8BQQB;15/07/2025;Cartão;Parceiro;R$ 401,97;6;6,26;R$ 510,39;656;R$ 2.140,00;27;SP;M;Ativo;0;0;NAO
C0037064;7G69BMPMXAP;19/08/2025;Crediário;Parceiro;R$ 439,62;12;13,77;R$ 590,66;564;R$ 2.550,00;47;MG;M;Cancelado;0;0;NAO
C0006864;K8VHKUBCX3Z;01/08/2025;CDC;Loja;R$ 338,50;3;8,34;R$ 437,20;648;R$ 3.170,00;43;BA;F;Ativo;0;0;NAO
C0024247;TMXE9FDL327;01/10/2025;Empréstimo Pessoal;Loja;R$ 247,83;9;8,96;R$ 546,15;644;;47;SC;F;Ativo;0;1;SIM
C0032318;6GWQAGA3NPJ;09/09/2025;CDC;Loja;R$ 783,92;12;11,87;R$ 1.853,67;558;;39;SC;M;Ativo;1;1;SIM
C0051251;ZPNS89KFWSJ;08/10/2025;Cartão;App;R$ 458,24;9;11,26;R$ 598,11;643;R$ 3.230,00;;SP;M;Ativo;0;0;NAO
C0045495;3E7MQBW83W2;04/09/2025;Crediário;App;R$ 742,86;18;15,99;R$ 1.632,55;484;R$ 3.690,00;49;DF;M;Ativo;0;0;NAO
C0008165;AKPUEC7DCGL;27/11/2025;Empréstimo Pessoal;Site;R$ 222,00;10;14,10;R$ 316,27;498;R$ 6.770,00;52;SP;M;Cancelado;0;0;NAO
C0023486;FZJNGRNRME6;04/07/2025;Cartão;App;R$ 199,95;12;9,80;R$ 216,93;771;R$ 2.060,00;65;PR;F;Ativo;0;0;NAO
C0039193;QT47X7TGQPV;09/11/2025;CDC;Parceiro;R$ 265,03;24;10,90;R$ 525,21;626;R$ 2.750,00;49;RJ;M;Quitado;0;0;NAO
C0047359;AD8ZBEZ2HPD;04/12/2025;Empréstimo Pessoal;App;R$ 658,35;6;9,68;R$ 787,05;651;R$ 2.520,00;18;GO;M;Cancelado;0;0;NAO
C0034278;9M8FQVZRXFK;14/08/2025;Empréstimo Pessoal;Parceiro;R$ 1.505,44;12;7,98;R$ 3.416,40;680;R$ 3.940,00;64;SP;M;Cancelado;0;0;SIM
C0039567;3Q25LBTMJ5B;09/08/2025;Crediário;Site;R$ 808,89;12;11,25;R$ 1.317,90;591;R$ 2.390,00;52;SP;M;Ativo;1;1;SIM
C0021812;VC39EU5U6UB;04/07/2025;CDC;Parceiro;R$ 514,70;6;12,25;R$ 1.003,17;580;R$ 950,00;27;RS;F;Ativo;0;0;NAO
C0026927;SYZ3GXTKGVR;21/08/2025;Empréstimo Pessoal;App;R$ 457,37;12;8,84;R$ 578,67;656;R$ 4.570,00;77;PR;F;Ativo;0;0;NAO
C0034776;DQKH6R2VMZX;03/06/2025;Empréstimo Pessoal;Site;R$ 910,74;10;13,61;R$ 1.213,11;516;R$ 2.620,00;39;BA;M;Ativo;0;0;NAO
C0026826;HPQ36A34VLT;10/09/2025;Cartão;App;R$ 485,79;12;6,98;R$ 1.091,53;676;R$ 5.880,00;49;SP;F;Ativo;0;0;NAO
C0047614;F8FJ3LYSDAS;31/08/2025;Cartão;Loja;R$ 885,01;3;14,03;R$ 1.585,84;503;R$ 1.530,00;46;MG;M;Ativo;0;0;SIM
C0001707;F8NPEJWPUGC;05/08/2025;Crediário;Site;R$ 393,21;18;10,04;R$ 544,30;664;R$ 4.230,00;63;SP;M;Ativo;0;0;NAO
C0034490;DBTNYAP8XV3;25/10/2025;Empréstimo Pessoal;Loja;R$ 1.336,38;18;10,46;R$ 2.747,05;;R$ 6.010,00;75;RS;M;Cancelado;0;0;NAO
C0010495;JM94VK459XH;01/10/2025;CDC;App;R$ 459,37;12;7,67;R$ 710,73;652;R$ 2.300,00;40;SP;M;Ativo;0;0;NAO
C0006428;7D5DQFUA5R5;31/10/2025;CDC;Parceiro;R$ 1.635,86;12;10,86;R$ 3.694,98;546;;23;BA;F;Quitado;1;1;SIM
C0021138;LPQTTVTAYPC;19/06/2025;Empréstimo Pessoal;App;R$ 791,03;9;3,25;R$ 1.062,32;808;R$ 2.670,00;49;DF;M;Ativo;0;0;NAO
C0017547;3JYDF9VAUY3;07/10/2025;Empréstimo Pessoal;Site;R$ 713,66;10;10,28;R$ 1.246,24;561;R$ 3.580,00;39;MG;F;Quitado;0;0;NAO
C0006054;4DZDCDZQVJD;26/07/2025;Cartão;App;R$ 469,62;12;11,78;R$ 619,05;517;;60;SP;F;Ativo;0;0;NAO
C0016324;YPDFLJLSP9D;25/09/2025;Empréstimo Pessoal;Site;R$ 438,73;12;5,68;R$ 773,59;709;R$ 3.000,00;30;RS;M;Ativo;0;0;NAO
C0009356;ENZGRDAHYSK;16/10/2025;Empréstimo Pessoal;Loja;R$ 623,68;10;10,36;R$ 1.132,21;572;R$ 3.430,00;19;SP;F;Ativo;1;1;SIM
C0033386;VPQKCNF865Q;29/09/2025;Cartão;Site;R$ 957,10;12;5,79;R$ 2.245,00;696;R$ 1.480,00;47;DF;F;Cancelado;0;0;NAO
C0014312;8TUFW5ELPQH;18/11/2025;Empréstimo Pessoal;App;R$ 1.333,07;12;11,87;R$ 2.441,38;668;R$ 4.330,00;24;RS;M;Ativo;0;0;SIM
C0012841;6N98F5CED95;14/10/2025;Crediário;App;R$ 473,13;10;10,93;R$ 617,42;594;R$ 3.060,00;43;DF;F;Ativo;0;0;NAO
C0007151;RP5N26FZCWH;20/08/2025;Crediário;Site;R$ 1.130,50;10;7,62;R$ 1.968,75;715;R$ 3.560,00;53;GO;M;Ativo;0;0;NAO
C0025416;CTJPLYWF72N;29/09/2025;Cartão;Loja;R$ 1.061,46;24;14,31;R$ 2.086,67;516;R$ 1.700,00;30;SC;M;Ativo;1;1;SIM
C0006808;N3KYU6NHNXP;27/09/2025;Crediário;Loja;R$ 953,45;24;11,66;R$ 1.128,22;590;R$ 3.130,00;42;PE;M;Cancelado;0;1;SIM
C0049546;GAU3MBW6FFM;23/07/2025;Empréstimo Pessoal;Site;R$ 534,71;9;10,24;R$ 767,84;623;R$ 3.790,00;27;DF;M;Ativo;0;0;NAO
C0029499;3E83BZCVYRY;24/09/2025;Crediário;Site;R$ 552,30;12;11,72;R$ 715,92;643;R$ 2.320,00;31;PA;M;Ativo;0;0;NAO
C0039566;5BGJXC2CFAY;08/09/2025;Empréstimo Pessoal;App;R$ 1.155,40;12;10,73;R$ 2.760,84;609;R$ 960,00;52;SP;F;Ativo;0;0;NAO
C0005334;FRGPMG3S44J;11/09/2025;Cartão;Site;R$ 544,34;9;17,25;R$ 830,50;419;;;PE;M;Quitado;0;1;SIM
C0019108;8GTY3NHPY8K;30/09/2025;Empréstimo Pessoal;App;R$ 1.258,63;24;8,45;R$ 2.191,41;696;R$ 3.490,00;48;SP;M;Ativo;0;0;NAO
C0023148;L7V98DQ8LAU;13/07/2025;Empréstimo Pessoal;Parceiro;R$ 719,94;9;11,19;R$ 1.053,03;590;;38;RJ;F;Quitado;0;0;NAO
C0038377;QKRJNP494DE;07/08/2025;Crediário;App;R$ 212,22;24;7,55;R$ 460,47;641;R$ 4.760,00;32;SP;F;Quitado;1;1;SIM
C0022274;R8CZAV5UGTJ;05/11/2025;Crediário;App;R$ 672,04;9;8,67;R$ 1.361,79;721;R$ 2.680,00;36;PR;M;Ativo;1;1;SIM
C0000292;CLFFFB4BNY9;31/07/2025;Empréstimo Pessoal;Parceiro;R$ 797,56;18;2,50;R$ 1.563,01;770;;52;BA;F;Ativo;0;0;NAO
C0010438;XHNTRDFCV9W;16/06/2025;Empréstimo Pessoal;App;R$ 1.082,07;18;5,85;R$ 1.992,59;651;R$ 1.040,00;18;SP;M;Ativo;0;0;NAO
C0023000;CWAYCCXS8CK;27/06/2025;Crediário;Loja;R$ 2.202,22;6;8,86;R$ 3.118,62;557;R$ 2.850,00;53;GO;M;Ativo;0;0;SIM
C0030452;Z7GXFZ9CC98;16/10/2025;Crediário;App;R$ 836,18;10;9,26;R$ 904,07;624;R$ 2.830,00;52;MG;M;Ativo;0;0;NAO
C0001377;KDE4QS8BG4T;30/10/2025;Empréstimo Pessoal;Loja;R$ 270,95;6;9,05;R$ 491,76;653;;22;MG;M;Ativo;0;0;NAO
C0014114;J98VK9G5P5K;21/08/2025;Cartão;Site;R$ 305,08;9;5,22;R$ 656,65;797;R$ 1.400,00;49;SP;F;Ativo;0;0;NAO
C0032302;SBWS8AT3TDX;27/06/2025;Crediário;Loja;R$ 780,10;6;5,38;R$ 1.586,10;804;R$ 2.240,00;34;RJ;M;Ativo;0;0;NAO
C0042557;QKZEG66P9SM;16/07/2025;CDC;App;R$ 697,84;12;12,51;R$ 904,36;615;R$ 2.770,00;53;SP;F;Quitado;0;0;NAO
C0013952;LQ4YSRJSD3Q;06/07/2025;Cartão;App;R$ 666,62;12;6,88;R$ 767,18;777;R$ 2.800,00;33;MG;M;Ativo;0;0;NAO
C0021343;QNMFPRPN9H4;21/07/2025;Cartão;Loja;R$ 1.109,81;18;10,68;R$ 1.285,40;700;R$ 5.050,00;65;SC;F;Quitado;0;1;SIM
C0040425;GZMJ9PAYTMF;02/09/2025;Cartão;Site;R$ 926,28;12;10,09;R$ 1.127,77;637;R$ 1.220,00;42;RJ;M;Quitado;0;0;NAO
C0019197;RJS22EG4K6E;02/08/2025;Empréstimo Pessoal;Parceiro;R$ 151,37;6;10,49;R$ 273,38;688;R$ 3.630,00;46;PR;F;Quitado;0;0;NAO
C0049123;YHZC4T4W5S8;01/11/2025;Cartão;App;R$ 778,26;6;10,45;R$ 1.094,28;628;R$ 2.120,00;38;BA;F;Ativo;0;0;NAO
C0015922;GVUXJ3ZWSRQ;18/08/2025;Cartão;Site;R$ 520,15;12;11,05;R$ 759,61;;R$ 1.800,00;27;RS;F;Cancelado;0;0;NAO
C0026127;744LYJHALKB;05/11/2025;Cartão;Loja;R$ 274,74;18;17,16;R$ 624,31;440;;36;SP;F;Ativo;1;1;SIM
C0040894;HK4HKG8N2HH;27/06/2025;Empréstimo Pessoal;Site;R$ 961,01;18;7,08;R$ 1.801,79;628;R$ 2.700,00;43;GO;F;Quitado;0;1;SIM
