cpf;dt_transacao;valor_aposta;modalidade;casa_aposta;canal
34QHEHKYLUF;21/07/2025;R$ 26,88;Cassino;Sportingbet;Site
XCF7ZLQM7ZH;11/06/2025;R$ 82,85;Cassino;Superbet;App
LPYZHABLQFA;23/04/2025;R$ 23,32;Esportiva;Betano;App
4UJZWZA76A7;24/09/2025;R$ 73,81;Esportiva;Superbet;Site
R5TJUX72DUX;27/04/2025;R$ 41,66;Cassino;KTO;App
YYHPBDKCJWN;20/10/2025;R$ 63,27;Esportiva;Betano;Site
RMXK525LD8G;24/03/2025;R$ 95,97;Cassino;Pixbet;App
PFR3BN4UA5B;30/08/2025;R$ 18,91;Poker;Superbet;App
2D8B4UTSWF3;15/10/2025;R$ 50,48;Esportiva;KTO;Site
VTXARW2K9MW;06/03/2025;R$ 73,13;Bingo;KTO;App
8GMPLLBKGKE;04/04/2025;R$ 6,70;Esportiva;Estrela;App
YF6UK8RPA95;11/04/2025;R$ 14,04;Esportiva;Pixbet;Site
MU28AKKD3Z9;06/10/2025;R$ 79,65;Esportiva;Pixbet;App
2GZWHMUABGW;23/11/2025;R$ 96,76;Poker;Betano;App
79H3ZQX69WS;03/07/2025;R$ 37,56;Bingo;Betano;App
2M48R729CE4;09/12/2025;R$ 32,34;Poker;Pixbet;Site
E2G59S96JV6;12/07/2025;R$ 64,72;Cassino;Sportingbet;Site
GMNG588DYFC;29/05/2025;R$ 31,73;Esportiva;KTO;App
UNV7TM5QVES;13/04/2025;R$ 15,82;Esportiva;Blaze;App
E7R5A3LYSUT;11/06/2025;R$ 40,93;Esportiva;Estrela;Site
5XWVF7JVXJU;09/09/2025;R$ 68,24;Cassino;Bet365;App
2NR8YUMED9C;02/03/2025;R$ 71,06;Poker;Blaze;App
TLV5J667CKD;26/06/2025;R$ 42,41;Esportiva;Sportingbet;App
GBY7QV92H2N;28/04/2025;R$ 52,50;Cassino;Bet365;App
K8SVHJZQE4N;03/07/2025;R$ 106,42;Cassino;Superbet;App
RF3BDJVMMT4;21/06/2025;R$ 126,08;Cassino;KTO;App
6KWUF4VBFME;21/03/2025;R$ 31,75;Cassino;Pixbet;App
Q9L46KB3CWR;04/05/2025;R$ 75,41;Esportiva;Superbet;App
RARVQDQXRZ8;26/05/2025;R$ 78,52;Cassino;Sportingbet;App
XTCEX755EQV;07/10/2025;R$ 72,29;Poker;Bet365;App
R5A8Z2AH8VZ;21/06/2025;R$ 278,06;Bingo;Estrela;App
X543N7U28PV;24/09/2025;R$ 6,91;Bingo;KTO;Site
WQFA8KKXJNY;09/11/2025;R$ 68,62;Cassino;KTO;Site
JFFMLBPH5TM;12/11/2025;R$ 14,71;Esportiva;Pixbet;App
NMZ59MNWDF8;26/03/2025;R$ 47,82;Esportiva;Superbet;App
V2M6DHF2P8J;12/11/2025;R$ 22,31;Cassino;KTO;Site
JQVE3MLSLC7;19/12/2025;R$ 23,80;Esportiva;Estrela;App
ELALP8PT5EL;04/07/2025;R$ 46,00;Esportiva;Pixbet;App
NFBU3DCHCPH;02/12/2025;R$ 47,83;Esportiva;Bet365;App
27EUFQQCFT4;18/03/2025;R$ 30,66;Esportiva;Betano;App
ZHFN5MGKJTX;26/08/2025;R$ 33,97;Cassino;Pixbet;App
YU26BX4GCSS;22/08/2025;R$ 25,80;Esportiva;Sportingbet;App
BJQ7BB9KTTS;02/12/2025;R$ 41,96;Cassino;Estrela;Site
5MMFC39YLDB;30/05/2025;R$ 34,12;Esportiva;Superbet;Site
V867WBNV4FQ;09/06/2025;R$ 91,77;Poker;Superbet;App
CGDBXEDZMY5;23/06/2025;R$ 47,04;Esportiva;Bet365;App
QYHPRYHY4UZ;05/10/2025;R$ 70,26;Esportiva;Blaze;App
UWP6ELG5TX7;22/05/2025;R$ 27,54;Esportiva;Estrela;App
8QLZ9HZUGBW;31/03/2025;R$ 42,23;Cassino;Superbet;App
GVYUJBY4HDF;09/12/2025;R$ 61,24;Cassino;Superbet;Site
8DJXR5X4X53;31/03/2025;R$ 300,54;Cassino;Betano;App
QNSTNXPEQCN;27/06/2025;R$ 88,07;Esportiva;Estrela;App
KQBH9HKV24G;13/07/2025;R$ 18,87;Esportiva;Betano;App
ADLFPMSXGCB;04/04/2025;R$ 61,94;Cassino;Blaze;App
UA4F4FAADKY;19/07/2025;R$ 67,55;Esportiva;Betano;App
AE3FP6T34L8;16/12/2025;R$ 103,33;Cassino;Estrela;App
U3UMPCBKS3Q;24/10/2025;R$ 7,44;Cassino;Sportingbet;App
VUNJ4SJRF6X;12/05/2025;R$ 21,56;Cassino;Blaze;App
LBV6RFW2YWX;04/05/2025;R$ 52,78;Esportiva;Betano;App
CYFPW6TCW23;11/09/2025;R$ 83,67;Esportiva;Blaze;App
GJJAPTE68CW;24/08/2025;R$ 107,81;Esportiva;Pixbet;App
RBEJ5WBHSTR;04/03/2025;R$ 13,11;Esportiva;Sportingbet;App
B8T8WB52HH9;22/06/2025;R$ 60,60;Bingo;Betano;Site
GCJCGC2US3P;31/07/2025;R$ 204,14;Bingo;Bet365;App
KNW6BDKRB5G;04/07/2025;R$ 193,94;Poker;Blaze;App
NCSEMRC56CG;30/06/2025;R$ 85,39;Esportiva;Bet365;App
79DUVC8DJ8T;28/05/2025;R$ 155,56;Esportiva;Betano;Site
DEQYT5MYLJQ;21/10/2025;R$ 26,91;Esportiva;Bet365;App
5T3LTSMYU2Y;01/08/2025;R$ 31,42;Esportiva;Betano;App
DDZUA95D3A2;01/10/2025;R$ 130,22;Cassino;Bet365;App
VPARLLMSP2D;15/07/2025;R$ 34,70;Esportiva;Sportingbet;Site
ZBUPL3KVFUY;20/11/2025;R$ 45,09;Esportiva;Pixbet;Site
2W69W6VUPSX;22/04/2025;R$ 31,97;Cassino;Pixbet;Site
UA4F4FAADKY;22/07/2025;R$ 30,87;Esportiva;Sportingbet;App
3GWTWKPJFV7;11/05/2025;R$ 26,23;Esportiva;Pixbet;App
DDKR7Q2RJRC;23/07/2025;R$ 19,66;Bingo;Pixbet;Site
7NECEPUA4TU;30/04/2025;R$ 128,70;Cassino;Betano;Site
MK7TW3LDM9B;11/12/2025;R$ 11,40;Esportiva;Sportingbet;Site
4GUSFRUDGPX;26/06/2025;R$ 42,85;Esportiva;Sportingbet;App
QEZPZY6A4EX;21/05/2025;R$ 102,36;Cassino;Bet365;Site
PTBTYCQDZG8;26/05/2025;R$ 153,86;Esportiva;Estrela;App
T65DKC27HYD;14/12/2025;R$ 97,25;Poker;Pixbet;App
PUN3M59XD64;02/05/2025;R$ 28,75;Cassino;Bet365;App
EHVQ8M2FPXQ;02/04/2025;R$ 29,95;Cassino;Pixbet;App
X3DJF3WXWT4;14/03/2025;R$ 83,71;Cassino;KTO;App
EFQKWRWV8MM;03/09/2025;R$ 43,86;Cassino;Pixbet;App
RGJFDM9SYUJ;14/11/2025;R$ 232,26;Esportiva;Pixbet;Site
AWG4HNX35H5;01/09/2025;R$ 16,41;Esportiva;KTO;App
H5XBEB3W7LB;30/08/2025;R$ 171,48;Poker;Betano;App
C78RFH6AHLG;02/12/2025;R$ 23,85;Cassino;Pixbet;App
VLQDUL8AA5P;11/06/2025;R$ 27,84;Esportiva;KTO;App
5VK259TUDN3;29/07/2025;R$ 99,83;Bingo;Bet365;App
8RAEX6ETRKW;29/08/2025;R$ 51,31;Bingo;Sportingbet;App
8CGZSTQSYSH;13/11/2025;R$ 113,45;Cassino;KTO;App
3LVTF2VG2V5;04/11/2025;R$ 58,99;Poker;Sportingbet;App
WQQNPQBGAN4;13/04/2025;R$ 29,41;Cassino;Bet365;App
88694NYUKAE;14/08/2025;R$ 22,51;Esportiva;Bet365;Site
S7BXGJ9P7D5;06/05/2025;R$ 7,98;Cassino;Blaze;App
J8BYA8K9BXQ;07/09/2025;R$ 6,81;Cassino;Bet365;App
RSL745FXZQZ;25/10/2025;R$ 16,61;Esportiva;Sportingbet;App
6LRAJTSZQ2F;05/10/2025;R$ 43,35;Bingo;Superbet;App
R2SXQ6B6P48;27/05/2025;R$ 24,74;Esportiva;Sportingbet;Site
KDN3Z2FAJJ5;15/12/2025;R$ 13,09;Esportiva;Estrela;App
4QKF5EX4FTH;10/03/2025;R$ 66,97;Esportiva;Blaze;App
EDQ6JWQN88S;07/09/2025;R$ 32,62;Cassino;Pixbet;App
85NVX8472B3;02/10/2025;R$ 164,83;Cassino;Pixbet;App
L3K6TV6APL3;27/10/2025;R$ 98,99;Esportiva;KTO;Site
WX32S5VADZ6;21/04/2025;R$ 95,24;Esportiva;Blaze;App
2W7CAGUY28C;28/08/2025;R$ 55,27;Bingo;Blaze;App
KM3JKSQWG6Q;29/09/2025;R$ 10,39;Poker;Superbet;App
L2LJ5UM58LS;30/04/2025;R$ 12,79;Poker;Blaze;Site
8C5PRYV64HJ;19/03/2025;R$ 78,93;Cassino;Bet365;Site
SQEBN7A36ZY;10/11/2025;R$ 37,48;Esportiva;Pixbet;Site
W9GW6XC8WWZ;09/07/2025;R$ 18,43;Poker;KTO;App
SPVERZ5JVK3;05/12/2025;R$ 54,51;Cassino;Bet365;App
ZW9GQ7GB3R4;02/10/2025;R$ 93,05;Esportiva;Blaze;App
AYSQMC498UA;26/03/2025;R$ 65,20;Esportiva;Superbet;App
NYZDJTLSPU3;12/03/2025;R$ 67,51;Cassino;Betano;App
BYP3JYVX4YZ;10/03/2025;R$ 21,21;Cassino;Sportingbet;App
5MRPT96KDY4;18/06/2025;R$ 88,97;Poker;Betano;Site
5MSC89QYRGF;26/08/2025;R$ 18,77;Bingo;Pixbet;App
BUKMCWEVPZP;25/07/2025;R$ 42,69;Esportiva;Blaze;App
35EH8P8XTC2;06/11/2025;R$ 9,69;Cassino;Bet365;Site
6AAXN72KP8U;25/06/2025;R$ 42,84;Cassino;Sportingbet;App
EYB9AS9XWYY;27/03/2025;R$ 143,92;Cassino;Blaze;Site
GQE5958SNN6;17/09/2025;R$ 20,36;Cassino;Betano;Site
U48SCQZPT3X;04/04/2025;R$ 48,51;Cassino;Superbet;App
SRMK8Y3AR94;18/07/2025;R$ 43,62;Bingo;Bet365;Site
Q54TLRV8TXL;19/04/2025;R$ 67,68;Esportiva;Superbet;App
NN7HRM235CD;20/09/2025;R$ 33,38;Bingo;Betano;App
3H8HQMARNJW;21/07/2025;R$ 20,45;Cassino;Estrela;App
JXGKSXJPNFU;10/06/2025;R$ 38,55;Esportiva;Pixbet;App
NRY9YJENTNS;06/11/2025;R$ 20,31;Esportiva;KTO;App
DRCLYSTCXCU;22/10/2025;R$ 44,90;Esportiva;Sportingbet;App
J5RUDB2KLP3;10/12/2025;R$ 26,29;Esportiva;Betano;App
2EYURN93F9E;15/09/2025;R$ 29,82;Cassino;Superbet;App
NN7HRM235CD;20/07/2025;R$ 65,21;Esportiva;Pixbet;App
NUN8JQRZ98N;26/05/2025;R$ 17,21;Esportiva;Betano;App
75QJMKP6E4V;07/09/2025;R$ 22,87;Cassino;Superbet;App
LR2U7LC2DF6;15/09/2025;R$ 115,02;Esportiva;Superbet;App
CFDRTVQFAY9;09/12/2025;R$ 42,54;Poker;Bet365;App
57WWTPQSR42;23/07/2025;R$ 72,18;Esportiva;Blaze;App
CKL6Y743QW2;31/10/2025;R$ 44,72;Cassino;Blaze;Site
FHBBV2L3NYG;28/03/2025;R$ 113,01;Cassino;Sportingbet;App
CXJ43VUMBUA;20/07/2025;R$ 18,87;Cassino;Bet365;Site
VJDGHJ8JH9Y;21/08/2025;R$ 65,15;Cassino;Superbet;Site
9HGJ3WFW2UX;06/05/2025;R$ 11,85;Esportiva;Blaze;App
3EG5BKUSKGG;03/04/2025;R$ 56,87;Esportiva;KTO;Site
2MA5DA2663P;04/03/2025;R$ 54,87;Cassino;Sportingbet;App
5Z9LXXQMURZ;22/08/2025;R$ 22,49;Cassino;Bet365;App
XFX222FPT2R;24/05/2025;R$ 83,44;Esportiva;Betano;App
CFPU8UPPK6D;01/07/2025;R$ 114,24;Cassino;Bet365;App
ZJV4YR4VXR5;13/11/2025;R$ 123,12;Cassino;Pixbet;App
TPXNXBK4JEV;06/04/2025;R$ 56,23;Poker;Betano;Site
ZZLHVV6KV69;08/07/2025;R$ 128,35;Esportiva;Sportingbet;App
UA4F4FAADKY;09/12/2025;R$ 87,31;Esportiva;Estrela;Site
DF6HTV8L2ZY;07/09/2025;R$ 96,10;Esportiva;Estrela;App
KJQBWZTPCR4;13/04/2025;R$ 33,35;Poker;Estrela;App
4BK5K73TW8K;17/08/2025;R$ 79,41;Esportiva;Betano;App
4GJC5UBPPNA;30/08/2025;R$ 39,09;Esportiva;KTO;App
BLKWHQ88ZUY;01/10/2025;R$ 10,76;Poker;Betano;Site
NLXQQ6JHGWJ;02/12/2025;R$ 124,23;Esportiva;Bet365;App
Y3Y2ZD2NWCP;10/11/2025;R$ 249,28;Cassino;Estrela;Site
V3ULUDMLBAB;11/04/2025;R$ 27,16;Bingo;Blaze;Site
HVGE5SK44AK;19/12/2025;R$ 89,58;Cassino;KTO;App
M9Q24TRDYBB;22/04/2025;R$ 16,31;Poker;Bet365;App
NRY9YJENTNS;01/03/2025;R$ 27,29;Cassino;KTO;App
DMD3M924N8U;18/07/2025;R$ 20,90;Esportiva;Blaze;App
864XXJ5JD4P;25/09/2025;R$ 14,88;Bingo;KTO;App
F6G7PD28WTG;20/03/2025;R$ 501,61;Esportiva;Pixbet;App
WNUCEXDQUBQ;08/08/2025;R$ 38,87;Cassino;Superbet;App
T5YM7S44J8C;22/07/2025;R$ 21,65;Esportiva;Betano;Site
ZJ3HRUB3YEA;22/08/2025;R$ 38,82;Poker;Betano;Site
BDB7AC4YA2X;05/11/2025;R$ 99,83;Esportiva;Pixbet;App
7PJHHZA82NY;03/08/2025;R$ 93,14;Esportiva;Bet365;App
86RD8Y862ZM;15/03/2025;R$ 8,05;Poker;Pixbet;App
4P9QYDX9S8P;27/05/2025;R$ 123,51;Bingo;Blaze;App
BQPVDVNZ9H2;24/10/2025;R$ 28,76;Poker;Blaze;App
E895VC7GFYN;03/06/2025;R$ 50,03;Poker;Blaze;App
9CAX53VP7K6;17/03/2025;R$ 39,07;Esportiva;Pixbet;Site
B85Q47AUHKW;31/07/2025;R$ 110,07;Esportiva;KTO;App
SQ9RPBERLCZ;19/04/2025;R$ 26,59;Cassino;KTO;App
XTPKZJ2H6YT;24/10/2025;R$ 53,28;Cassino;Blaze;App
Z4S954PLRD2;27/05/2025;R$ 14,72;Esportiva;Bet365;Site
RMXK525LD8G;17/09/2025;R$ 129,90;Esportiva;Betano;App
KG7FG2PFJ2T;10/12/2025;R$ 43,78;Bingo;Betano;App
7VJ9JNFVMSK;11/06/2025;R$ 93,60;Esportiva;KTO;Site
VDFYXVGCCDG;12/07/2025;R$ 40,90;Poker;Estrela;App
YUHCQZHXMD7;02/03/2025;R$ 89,35;Esportiva;Estrela;App
YYSX8LGP8R7;06/12/2025;R$ 189,29;Poker;Bet365;App
827CSP899Y7;20/08/2025;R$ 38,98;Esportiva;Superbet;App
NRY9YJENTNS;19/04/2025;R$ 0,00;Cassino;Bet365;Site
8MY8VQPXHSG;09/03/2025;R$ -36,79;Esportiva;Superbet;App
NRY9YJENTNS;26/03/2025;R$ 70,55;Cassino;Estrela;App
98DYE2S5G77;21/11/2025;R$ 18,02;Esportiva;Sportingbet;Site
LWBWRX74MVY;31/03/2025;R$ 31,06;Esportiva;Blaze;App
AS6JK4N92PZ;25/10/2025;R$ 21,42;Bingo;Estrela;App
J7VKTGTWE4J;26/11/2025;R$ 96,72;Poker;Superbet;Site
PNRZTHVG7VR;05/09/2025;R$ 66,07;Esportiva;Blaze;App
239X93JPVUJ;24/04/2025;R$ 35,77;Esportiva;Blaze;Site
7GSTZVV82YB;12/04/2025;R$ 162,82;Esportiva;Pixbet;App
QUJYSFFAU39;15/09/2025;R$ 75,53;Bingo;Betano;Site
D89GGM8RRUS;12/09/2025;R$ 96,96;Cassino;Blaze;App
6R4FLS5BQP2;14/11/2025;R$ 11,38;Esportiva;Superbet;App
77XVT5ZWRGB;15/05/2025;R$ 146,84;Esportiva;Superbet;App
ESFWHXY9G7L;31/08/2025;R$ 59,92;Cassino;Estrela;Site
2SD62PGTCGP;27/04/2025;R$ 73,42;Esportiva;Estrela;Site
JSYZ4CL7XUY;12/10/2025;R$ 31,12;Esportiva;Bet365;Site
99X952M4LDU;06/12/2025;R$ 45,88;Poker;Blaze;App
FHFAHBRRGLY;15/03/2025;R$ 107,95;Esportiva;Pixbet;App
M6CJESZ3NWC;25/08/2025;R$ 328,71;Cassino;Superbet;App
48PT7ZJLURT;13/06/2025;R$ 26,24;Cassino;Superbet;Site
YKP7SD8FQ4A;11/07/2025;R$ 488,15;Esportiva;Bet365;App
C2DB3TLG6XC;22/06/2025;R$ 42,09;Esportiva;Sportingbet;App
A493BRHJNPZ;18/03/2025;R$ 56,04;Esportiva;Betano;App
8BBBPFSP9ZJ;19/07/2025;R$ 51,11;Poker;Superbet;App
G97E55K9GUY;29/05/2025;R$ 78,80;Cassino;Sportingbet;App
74JPYEWXNZW;08/11/2025;R$ 11,18;Bingo;Sportingbet;App
BRWQTAAVPUM;03/10/2025;R$ 80,78;Esportiva;Blaze;App
C59KKTHZTML;09/07/2025;R$ 24,91;Poker;Betano;Site
SUN9D7UJSDW;28/05/2025;R$ 82,52;Esportiva;KTO;App
2W69W6VUPSX;30/11/2025;R$ 30,67;Cassino;Estrela;App
BNSLLZ9JDBN;01/03/2025;R$ 19,99;Esportiva;Blaze;App
84PQWH79JSL;25/08/2025;R$ 14,62;Esportiva;KTO;App
DT8HWJFJ4B5;09/05/2025;R$ 27,88;Cassino;Blaze;App
PPUQC4AUHTR;16/05/2025;R$ 13,16;Bingo;Pixbet;Site
MEF272T3UB3;09/07/2025;R$ 24,07;Poker;Pixbet;App
M8TULA9QX6M;28/09/2025;R$ 39,75;Bingo;Pixbet;App
F4W8SPWGAM4;28/11/2025;R$ 123,53;Esportiva;Blaze;App
DNM2UD8RZ9K;02/06/2025;R$ 173,36;Poker;Pixbet;Site
VRVWDEHKXJZ;05/03/2025;R$ 18,44;Cassino;Blaze;Site
LNMXVRPXJFR;22/07/2025;R$ 35,40;Cassino;Blaze;Site
GYBQXPPKGN9;20/07/2025;R$ 97,87;Cassino;Estrela;App
HCCFK42P3UQ;31/03/2025;R$ 62,74;Cassino;Pixbet;App
Y56WLCPDSV3;28/11/2025;R$ 44,29;Bingo;Bet365;App
6GWQAGA3NPJ;12/06/2025;R$ 55,38;Cassino;Sportingbet;Site
A2BDZURYDRK;15/04/2025;R$ 19,02;Cassino;Blaze;App
ZHFN5MGKJTX;24/04/2025;R$ 58,21;Bingo;Superbet;App
CTW4XDVGEGF;22/03/2025;R$ 22,01;Bingo;Blaze;App
P458V44QQPY;20/07/2025;R$ 84,68;Esportiva;Estrela;App
XXR95UWLS8G;23/10/2025;R$ 137,20;Esportiva;Estrela;App
ENNFURYFC3L;12/04/2025;R$ 31,27;Esportiva;Superbet;Site
K8SVHJZQE4N;27/04/2025;R$ 64,81;Esportiva;Pixbet;App
2W3WNUZN763;08/10/2025;R$ 66,25;Esportiva;Blaze;App
6RW5PG4AJEW;03/07/2025;R$ 35,03;Poker;Betano;App
32JNEQ4CGKA;03/09/2025;R$ 63,40;Esportiva;Pixbet;App
F74P9UDUWVL;10/08/2025;R$ 35,25;Esportiva;KTO;Site
DAMLK6AWFH4;27/05/2025;R$ 21,00;Poker;Pixbet;Site
SX9QW5UMJ6Z;03/03/2025;R$ 116,67;Cassino;Blaze;App
JGYW2RV2TTQ;18/09/2025;R$ 14,61;Cassino;Bet365;Site
2M48R729CE4;20/06/2025;R$ 57,06;Esportiva;Sportingbet;App
9WCCZTUMTUV;07/03/2025;R$ 14,40;Cassino;Superbet;App
CHS266SX3RQ;15/03/2025;R$ 22,05;Esportiva;Bet365;App
4SV2PEM4WV2;19/07/2025;R$ 69,26;Esportiva;Sportingbet;App
DYD23PW82Q6;11/06/2025;R$ 55,54;Cassino;Betano;App
E6JNEVAKFCJ;06/09/2025;R$ 112,57;Cassino;Pixbet;App
TGHUFCERU2D;27/05/2025;R$ 27,40;Cassino;Pixbet;App
37K2RP8SHLG;22/06/2025;R$ 9,27;Esportiva;Superbet;App
JWBRY88EB74;28/07/2025;R$ 35,88;Cassino;Bet365;App
YEF92NCFX8X;09/12/2025;R$ 16,71;Esportiva;Pixbet;App
SMGCCYW8Y45;11/07/2025;R$ 109,90;Esportiva;Superbet;App
PKSEE8LYAD3;28/04/2025;R$ 18,42;Cassino;Sportingbet;App
3WX5VV92SUA;14/11/2025;R$ 29,52;Esportiva;KTO;App
GD7CDU7YEVV;13/03/2025;R$ 44,60;Bingo;KTO;App
FG5RHAG4A72;14/04/2025;R$ 119,10;Cassino;Superbet;App
KWD2D7LWUTE;05/12/2025;R$ 21,19;Esportiva;Pixbet;App
5ELZM7ZASMR;12/06/2025;R$ 50,10;Cassino;Blaze;Site
RYH4CCQZ388;02/04/2025;R$ 24,88;Cassino;KTO;Site
AM2L5MWPWEG;16/08/2025;R$ 37,56;Cassino;Betano;App
FBFZ2JJLVJL;11/09/2025;R$ 67,98;Esportiva;Blaze;App
A567G6D6EM8;27/08/2025;R$ 80,16;Esportiva;Pixbet;App
SX3KEGX2W8S;10/11/2025;R$ 15,68;Poker;Sportingbet;App
G56VUW425PC;24/07/2025;R$ 97,57;Cassino;Estrela;App
F9R2B37HS4K;10/05/2025;R$ 37,01;Cassino;Betano;App
KGW82W76SDW;01/08/2025;R$ 45,89;Esportiva;Estrela;App
8RY9GF3LFGY;22/11/2025;R$ 129,91;Cassino;Betano;App
YW4DSPTSDRY;16/12/2025;R$ 40,50;Bingo;Superbet;App
GQNB64YU2ZM;22/04/2025;R$ 44,10;Poker;Betano;Site
K54AURXJDJS;13/07/2025;R$ 56,53;Esportiva;Pixbet;App
CAHSQNZZUHN;13/05/2025;R$ 73,15;Cassino;KTO;App
673ZGYMG9PW;12/10/2025;R$ 21,90;Esportiva;Blaze;Site
