cpf;dt_transacao;valor_aposta;modalidade;casa_aposta;canal
bjq.7bb9.ktts;02/12/2025;41,96;Cassino;Estrela;site
 5MMF-C39Y-LDB;30/05/2025;34.12;Esportiva;Superbet;site
v867wbnv4fq;2025-06-09;91.77;Poker;Superbet;app
cgd.bxed.zmy5;2025-06-23 00:00:00;47,04;Esportiva;Bet365;app
qyh.pryh.y4uz;2025-10-05;70.26;esportiva;Blaze;App
uwp6elg5tx7;2025-05-22;27.54;Esportiva;Estrela;App
8ql.z9hz.ugbw;2025-03-31 00:00:00;42.23;cassino;Superbet;app
gvy.ujby.4hdf;09-12-2025;61,24;Cassino;Superbet;Site
8dj.xr5x.4x53;2025-03-31;300.54;CASSINO;Betano;App
qns.tnxp.eqcn;2025-06-27 00:00:00;88,07;ESPORTIVA;Estrela;app
KQBH-9HKV-24G;2025-07-13;18.87;Esportiva;Betano;app
adl.fpms.xgcb;04/04/2025;61.94;CASSINO;Blaze;App
ua4.f4fa.adky;2025-07-19 00:00:00;67.55;ESPORTIVA;Betano;App
AE3F-P6T3-4L8;2025-12-16 00:00:00;103,33;CASSINO;Estrela;App
 u3u.mpcb.ks3q;24-10-2025;7.44;cassino;Sportingbet;app
vunj4sjrf6x;2025-05-12;21.56;CASSINO;Blaze;app
lbv.6rfw.2ywx;2025-05-04;52.78;Esportiva;Betano;app
cyf.pw6t.cw23;11-09-2025;83.67;Esportiva;Blaze;App
GJJA-PTE6-8CW;2025-08-24;107.81;ESPORTIVA;Pixbet;app
rbe.j5wb.hstr;04-03-2025;13.11;esportiva;Sportingbet;App
B8T8-WB52-HH9;2025-06-22;60.60;Bingo;Betano;site
GCJC-GC2U-S3P;2025-07-31 00:00:00;204.14;BINGO;Bet365;App
knw.6bdk.rb5g;2025-07-04 00:00:00;193,94;POKER;Blaze;app
ncs.emrc.56cg;2025-06-30;85.39;Esportiva;Bet365;app
79duvc8dj8t;28-05-2025;155,56;ESPORTIVA;Betano;site
deqyt5myljq;2025-10-21;26.91;Esportiva;Bet365;app
5t3.ltsm.yu2y;2025-08-01 00:00:00;31.42;esportiva;Betano;app
ddzua95d3a2;2025-10-01;130.22;cassino;Bet365;App
VPAR-LLMS-P2D;15/07/2025;R$ 34,70;Esportiva;Sportingbet;Site
zbu.pl3k.vfuy;20/11/2025;45,09;ESPORTIVA;Pixbet;Site
2w6.9w6v.upsx;22/04/2025;R$ 31,97;cassino;Pixbet;Site
ua4f4faadky;2025-07-22;30.87;Esportiva;Sportingbet;App
3gw.twkp.jfv7;2025-05-11;26.23;ESPORTIVA;Pixbet;app
ddkr7q2rjrc;23/07/2025;19.66;Bingo;Pixbet;site
7ne.cepu.a4tu;2025-04-30 00:00:00;128.70;Cassino;Betano;site
mk7tw3ldm9b;2025-12-11;11.40;ESPORTIVA;Sportingbet;site
4gusfrudgpx;2025-06-26;42.85;esportiva;Sportingbet;App
qezpzy6a4ex;2025-05-21;102.36;Cassino;Bet365;site
ptbtycqdzg8;2025-05-26;153.86;esportiva;Estrela;App
t65dkc27hyd;2025-12-14 00:00:00;97.25;Poker;Pixbet;App
pun.3m59.xd64;2025-05-02 00:00:00;28.75;Cassino;Bet365;app
ehv.q8m2.fpxq;02/04/2025;R$ 29,95;CASSINO;Pixbet;app
x3djf3wxwt4;2025-03-14;83.71;CASSINO;KTO;app
EFQK-WRWV-8MM;2025-09-03;43,86;Cassino;Pixbet;App
rgj.fdm9.syuj;14/11/2025;R$ 232,26;ESPORTIVA;Pixbet;site
awg.4hnx.35h5;2025-09-01 00:00:00;16.41;esportiva;KTO;app
h5xbeb3w7lb;2025-08-30 00:00:00;171.48;Poker;Betano;App
c78.rfh6.ahlg;2025-12-02 00:00:00;23.85;Cassino;Pixbet;App
vlq.dul8.aa5p;2025-06-11 00:00:00;27.84;esportiva;KTO;app
5vk259tudn3;2025-07-29 00:00:00;99.83;Bingo;Bet365;App
8ra.ex6e.trkw;2025-08-29 00:00:00;R$ 51,31;BINGO;Sportingbet;app
8cg.zstq.sysh;13/11/2025;113,45;cassino;KTO;App
3lvtf2vg2v5;04-11-2025;58.99;POKER;Sportingbet;App
wqq.npqb.gan4;13/04/2025;29.41;cassino;Bet365;App
88694nyukae;2025-08-14;22.51;ESPORTIVA;Bet365;Site
s7b.xgj9.p7d5;06/05/2025;7,98;CASSINO;Blaze;App
j8bya8k9bxq;07/09/2025;6.81;Cassino;Bet365;App
rsl.745f.xzqz;25-10-2025;16.61;esportiva;Sportingbet;App
6lr.ajts.zq2f;05/10/2025;43.35;BINGO;Superbet;App
r2sxq6b6p48;27/05/2025;24,74;esportiva;Sportingbet;site
kdn3z2fajj5;15-12-2025;13.09;Esportiva;Estrela;App
4qkf5ex4fth;10/03/2025;R$ 66,97;esportiva;Blaze;app
 EDQ6-JWQN-88S;2025-09-07 00:00:00;32.62;Cassino;Pixbet;App
 85NV-X847-2B3;02-10-2025;164.83;CASSINO;Pixbet;app
l3k.6tv6.apl3;2025-10-27 00:00:00;98.99;ESPORTIVA;KTO;Site
WX32-S5VA-DZ6;2025-04-21 00:00:00;R$ 95,24;ESPORTIVA;Blaze;app
2w7caguy28c;28/08/2025;55,27;BINGO;Blaze;App
km3.jksq.wg6q;29/09/2025;10,39;POKER;Superbet;App
l2lj5um58ls;30/04/2025;12.79;POKER;Blaze;Site
8c5.pryv.64hj;2025-03-19 00:00:00;78.93;cassino;Bet365;Site
sqebn7a36zy;2025-11-10 00:00:00;37,48;esportiva;Pixbet;Site
w9gw6xc8wwz;09/07/2025;18.43;poker;KTO;app
SPVE-RZ5J-VK3;2025-12-05;54,51;Cassino;Bet365;App
zw9.gq7g.b3r4;2025-10-02;93.05;esportiva;Blaze;App
ays.qmc4.98ua;2025-03-26;65.20;ESPORTIVA;Superbet;app
nyzdjtlspu3;12/03/2025;67.51;Cassino;Betano;App
byp3jyvx4yz;10-03-2025;21.21;cassino;Sportingbet;app
5mr.pt96.kdy4;18/06/2025;R$ 88,97;Poker;Betano;Site
5ms.c89q.yrgf;26-08-2025;18.77;Bingo;Pixbet;app
buk.mcwe.vpzp;2025-07-25 00:00:00;42.69;esportiva;Blaze;App
35e.h8p8.xtc2;2025-11-06;9.69;Cassino;Bet365;site
6aa.xn72.kp8u;2025-06-25;42,84;cassino;Sportingbet;app
EYB9-AS9X-WYY;2025-03-27 00:00:00;143.92;cassino;Blaze;Site
GQE5-958S-NN6;17/09/2025;20.36;CASSINO;Betano;site
U48S-CQZP-T3X;04/04/2025;48.51;Cassino;Superbet;App
srm.k8y3.ar94;2025-07-18;43.62;Bingo;Bet365;site
q54tlrv8txl;2025-04-19;67.68;Esportiva;Superbet;app
nn7.hrm2.35cd;20-09-2025;33,38;bingo;Betano;App
3h8hqmarnjw;21-07-2025;20.45;cassino;Estrela;App
jxg.ksxj.pnfu;2025-06-10 00:00:00;38,55;ESPORTIVA;Pixbet;app
nry.9yje.ntns;06-11-2025;20.31;esportiva;KTO;app
DRCL-YSTC-XCU;2025-10-22 00:00:00;44,90;Esportiva;Sportingbet;app
j5r.udb2.klp3;10-12-2025;26.29;ESPORTIVA;Betano;app
2eyurn93f9e;15/09/2025;29.82;Cassino;Superbet;App
nn7hrm235cd;20/07/2025;65.21;ESPORTIVA;Pixbet;App
nun8jqrz98n;2025-05-26 00:00:00;17,21;esportiva;Betano;app
75q.jmkp.6e4v;07-09-2025;22.87;cassino;Superbet;app
lr2.u7lc.2df6;2025-09-15 00:00:00;115.02;Esportiva;Superbet;app
cfd.rtvq.fay9;2025-12-09 00:00:00;42.54;Poker;Bet365;app
57wwtpqsr42;2025-07-23;72,18;ESPORTIVA;Blaze;App
ckl.6y74.3qw2;31/10/2025;44.72;CASSINO;Blaze;site
fhb.bv2l.3nyg;28-03-2025;113.01;CASSINO;Sportingbet;app
cxj.43vu.mbua;20/07/2025;18.87;cassino;Bet365;Site
vjd.ghj8.jh9y;21-08-2025;65.15;cassino;Superbet;Site
9hg.j3wf.w2ux;2025-05-06 00:00:00;11.85;Esportiva;Blaze;App
3eg5bkuskgg;2025-04-03;56.87;ESPORTIVA;KTO;site
2ma.5da2.663p;2025-03-04 00:00:00;54.87;cassino;Sportingbet;app
5Z9L-XXQM-URZ;2025-08-22 00:00:00;22.49;Cassino;Bet365;App
xfx222fpt2r;2025-05-24 00:00:00;83.44;esportiva;Betano;App
cfp.u8up.pk6d;01/07/2025;114,24;CASSINO;Bet365;App
zjv.4yr4.vxr5;13/11/2025;123.12;CASSINO;Pixbet;app
tpx.nxbk.4jev;2025-04-06;56.23;POKER;Betano;Site
zzl.hvv6.kv69;08/07/2025;128.35;esportiva;Sportingbet;App
ua4.f4fa.adky;2025-12-09;87.31;esportiva;Estrela;site
df6.htv8.l2zy;2025-09-07 00:00:00;96.10;esportiva;Estrela;app
kjqbwztpcr4;2025-04-13;33.35;poker;Estrela;App
4bk.5k73.tw8k;17-08-2025;79.41;Esportiva;Betano;App
4gjc5ubppna;2025-08-30;39,09;ESPORTIVA;KTO;App
blk.whq8.8zuy;2025-10-01;10.76;POKER;Betano;Site
nlxqq6jhgwj;02/12/2025;124.23;ESPORTIVA;Bet365;App
y3y2zd2nwcp;10/11/2025;249.28;cassino;Estrela;site
v3u.ludm.lbab;11/04/2025;27.16;Bingo;Blaze;site
hvge5sk44ak;2025-12-19 00:00:00;89,58;cassino;KTO;app
m9q.24tr.dybb;2025-04-22;16.31;Poker;Bet365;App
nry9yjentns;2025-03-01;27.29;cassino;KTO;App
dmd.3m92.4n8u;2025-07-18 00:00:00;20.90;Esportiva;Blaze;App
864.xxj5.jd4p;2025-09-25;14.88;BINGO;KTO;App
F6G7-PD28-WTG;20-03-2025;501,61;ESPORTIVA;Pixbet;App
WNUC-EXDQ-UBQ;2025-08-08 00:00:00;38.87;CASSINO;Superbet;app
t5y.m7s4.4j8c;22-07-2025;R$ 21,65;Esportiva;Betano;Site
zj3.hrub.3yea;2025-08-22 00:00:00;38.82;Poker;Betano;site
BDB7-AC4Y-A2X;2025-11-05;99.83;Esportiva;Pixbet;App
7pjhhza82ny;03/08/2025;93.14;esportiva;Bet365;app
86rd8y862zm;2025-03-15;8.05;Poker;Pixbet;App
4p9.qydx.9s8p;2025-05-27 00:00:00;123.51;bingo;Blaze;app
bqp.vdvn.z9h2;2025-10-24;28.76;Poker;Blaze;app
e895vc7gfyn;2025-06-03;50.03;poker;Blaze;app
9ca.x53v.p7k6;17-03-2025;39.07;ESPORTIVA;Pixbet;Site
b85.q47a.uhkw;2025-07-31;110.07;Esportiva;KTO;app
sq9.rpbe.rlcz;19/04/2025;26.59;Cassino;KTO;App
xtpkzj2h6yt;2025-10-24;53,28;Cassino;Blaze;App
Z4S9-54PL-RD2;2025-05-27 00:00:00;14.72;ESPORTIVA;Bet365;site
RMXK-525L-D8G;2025-09-17;129,90;esportiva;Betano;App
kg7.fg2p.fj2t;10/12/2025;43.78;Bingo;Betano;App
7vj.9jnf.vmsk;11/06/2025;93.60;Esportiva;KTO;site
vdfyxvgccdg;2025-07-12 00:00:00;40,90;POKER;Estrela;app
yuh.cqzh.xmd7;2025-03-02;89.35;esportiva;Estrela;App
yys.x8lg.p8r7;2025-12-06 00:00:00;189.29;POKER;Bet365;app
827.csp8.99y7;2025-08-20 00:00:00;38,98;Esportiva;Superbet;App
nry.9yje.ntns;2025-04-19 00:00:00;0.00;cassino;Bet365;site
8MY8-VQPX-HSG;09/03/2025;R$ -36,79;ESPORTIVA;Superbet;App
nry.9yje.ntns;2025-03-26 00:00:00;R$ 70,55;cassino;Estrela;App
98DY-E2S5-G77;2025-11-21;18.02;esportiva;Sportingbet;site
lwbwrx74mvy;2025-03-31 00:00:00;31.06;Esportiva;Blaze;App
AS6J-K4N9-2PZ;25-10-2025;21,42;Bingo;Estrela;App
j7vktgtwe4j;2025-11-26;96,72;Poker;Superbet;Site
pnr.zthv.g7vr;2025-09-05 00:00:00;66.07;ESPORTIVA;Blaze;app
239x93jpvuj;24-04-2025;35.77;esportiva;Blaze;Site
7gs.tzvv.82yb;2025-04-12;162.82;esportiva;Pixbet;app
QUJY-SFFA-U39;2025-09-15;75.53;bingo;Betano;Site
D89G-GM8R-RUS;2025-09-12 00:00:00;96,96;cassino;Blaze;App
6r4.fls5.bqp2;2025-11-14;11.38;ESPORTIVA;Superbet;App
 77x.vt5z.wrgb;2025-05-15;146.84;ESPORTIVA;Superbet;App
esf.whxy.9g7l;2025-08-31 00:00:00;59.92;cassino;Estrela;Site
2sd.62pg.tcgp;2025-04-27;73,42;Esportiva;Estrela;site
JSYZ-4CL7-XUY;12/10/2025;31.12;esportiva;Bet365;site
99x952m4ldu;06-12-2025;45,88;POKER;Blaze;app
fhfahbrrgly;15/03/2025;R$ 107,95;ESPORTIVA;Pixbet;app
m6c.jesz.3nwc;2025-08-25 00:00:00;328.71;Cassino;Superbet;app
48PT-7ZJL-URT;2025-06-13 00:00:00;26.24;Cassino;Superbet;site
ykp7sd8fq4a;2025-07-11 00:00:00;488,15;Esportiva;Bet365;App
c2d.b3tl.g6xc;22/06/2025;42,09;esportiva;Sportingbet;app
a49.3brh.jnpz;2025-03-18;56.04;esportiva;Betano;app
8bbbpfsp9zj;19-07-2025;51.11;POKER;Superbet;App
g97.e55k.9guy;2025-05-29;78.80;CASSINO;Sportingbet;App
74jpyewxnzw;2025-11-08 00:00:00;11,18;bingo;Sportingbet;App
BRWQ-TAAV-PUM;2025-10-03 00:00:00;80,78;Esportiva;Blaze;app
c59kkthztml;2025-07-09;24,91;poker;Betano;Site
SUN9-D7UJ-SDW;28/05/2025;82,52;ESPORTIVA;KTO;app
2W69-W6VU-PSX;30/11/2025;30.67;Cassino;Estrela;App
bns.llz9.jdbn;2025-03-01;19,99;Esportiva;Blaze;app
84p.qwh7.9jsl;2025-08-25;R$ 14,62;Esportiva;KTO;App
DT8H-WJFJ-4B5;2025-05-09;R$ 27,88;CASSINO;Blaze;App
ppuqc4auhtr;16/05/2025;13.16;Bingo;Pixbet;Site
MEF2-72T3-UB3;2025-07-09 00:00:00;24,07;Poker;Pixbet;app
m8t.ula9.qx6m;28/09/2025;39.75;Bingo;Pixbet;App
f4w8spwgam4;28-11-2025;123,53;esportiva;Blaze;app
DNM2-UD8R-Z9K;02-06-2025;R$ 173,36;Poker;Pixbet;Site
vrvwdehkxjz;05/03/2025;18.44;CASSINO;Blaze;Site
lnm.xvrp.xjfr;22/07/2025;35.40;CASSINO;Blaze;site
gybqxppkgn9;2025-07-20;97.87;Cassino;Estrela;app
HCCF-K42P-3UQ;2025-03-31 00:00:00;62.74;Cassino;Pixbet;App
y56.wlcp.dsv3;28-11-2025;44.29;Bingo;Bet365;App
6gw.qaga.3npj;12-06-2025;55,38;cassino;Sportingbet;Site
a2bdzurydrk;15-04-2025;19.02;CASSINO;Blaze;app
zhf.n5mg.kjtx;2025-04-24;58.21;Bingo;Superbet;app
 CTW4-XDVG-EGF;2025-03-22 00:00:00;22.01;bingo;Blaze;App
P458-V44Q-QPY;20-07-2025;84.68;ESPORTIVA;Estrela;app
xxr95uwls8g;23-10-2025;R$ 137,20;esportiva;Estrela;app
enn.fury.fc3l;2025-04-12 00:00:00;31.27;ESPORTIVA;Superbet;Site
K8SV-HJZQ-E4N;2025-04-27;64.81;ESPORTIVA;Pixbet;app
2W3W-NUZN-763;2025-10-08 00:00:00;66.25;ESPORTIVA;Blaze;App
6rw5pg4ajew;2025-07-03 00:00:00;35.03;poker;Betano;App
32JN-EQ4C-GKA;03/09/2025;63,40;ESPORTIVA;Pixbet;app
f74.p9ud.uwvl;2025-08-10;35.25;ESPORTIVA;KTO;Site
damlk6awfh4;2025-05-27 00:00:00;21,00;Poker;Pixbet;site
sx9.qw5u.mj6z;2025-03-03 00:00:00;116,67;CASSINO;Blaze;app
jgy.w2rv.2ttq;18/09/2025;14.61;cassino;Bet365;Site
2m48r729ce4;20-06-2025;57,06;esportiva;Sportingbet;app
9wc.cztu.mtuv;2025-03-07;14,40;CASSINO;Superbet;App
chs266sx3rq;15-03-2025;22,05;Esportiva;Bet365;app
4SV2-PEM4-WV2;2025-07-19;69,26;esportiva;Sportingbet;App
dyd23pw82q6;2025-06-11;55,54;Cassino;Betano;App
e6jnevakfcj;06-09-2025;R$ 112,57;CASSINO;Pixbet;app
TGHU-FCER-U2D;2025-05-27 00:00:00;R$ 27,40;cassino;Pixbet;app
37K2-RP8S-HLG;22-06-2025;9,27;ESPORTIVA;Superbet;app
jwbry88eb74;2025-07-28;35,88;Cassino;Bet365;App
yef92ncfx8x;09/12/2025;16.71;ESPORTIVA;Pixbet;App
smgccyw8y45;11/07/2025;109.90;esportiva;Superbet;App
PKSE-E8LY-AD3;2025-04-28 00:00:00;18,42;CASSINO;Sportingbet;App
3wx5vv92sua;2025-11-14 00:00:00;29,52;esportiva;KTO;App
gd7.cdu7.yevv;2025-03-13;44,60;BINGO;KTO;App
fg5rhag4a72;14/04/2025;119.10;CASSINO;Superbet;App
kwd2d7lwute;2025-12-05 00:00:00;21,19;esportiva;Pixbet;app
5el.zm7z.asmr;2025-06-12 00:00:00;50.10;cassino;Blaze;Site
RYH4-CCQZ-388;02/04/2025;24,88;Cassino;KTO;Site
am2.l5mw.pweg;2025-08-16 00:00:00;37.56;CASSINO;Betano;app
fbf.z2jj.lvjl;2025-09-11 00:00:00;67.98;Esportiva;Blaze;App
A567-G6D6-EM8;2025-08-27;80.16;ESPORTIVA;Pixbet;App
sx3kegx2w8s;2025-11-10;15.68;poker;Sportingbet;app
g56.vuw4.25pc;24/07/2025;97.57;cassino;Estrela;App
f9r.2b37.hs4k;10/05/2025;37.01;CASSINO;Betano;app
KGW8-2W76-SDW;01/08/2025;45.89;ESPORTIVA;Estrela;App
8ry.9gf3.lfgy;22-11-2025;R$ 129,91;Cassino;Betano;App
yw4dsptsdry;16/12/2025;R$ 40,50;BINGO;Superbet;App
gqnb64yu2zm;22-04-2025;44.10;Poker;Betano;site
k54.aurx.jdjs;2025-07-13 00:00:00;56,53;ESPORTIVA;Pixbet;App
CAHS-QNZZ-UHN;2025-05-13 00:00:00;73,15;Cassino;KTO;App
673Z-GYMG-9PW;12/10/2025;21,90;Esportiva;Blaze;site
b85.q47a.uhkw;2025-03-22;18.68;poker;Superbet;App
ghr.svr2.szfy;07/10/2025;-28.40;Poker;Pixbet;Site
qg6b23wu3km;16/03/2025;33.00;ESPORTIVA;Bet365;app
4wz.8su2.25yb;10/05/2025;62.65;esportiva;Betano;App
qeq.cjbn.bean;2025-09-19;32.63;Esportiva;Blaze;App
 68n2aakfqt7;2025-03-31;73.08;BINGO;Blaze;Site
7kg.jh2v.hyhu;20-06-2025;R$ 11,61;CASSINO;KTO;Site
a5sxrmzgm6g;2025-06-13;24.55;Cassino;Estrela;app
8pt.tnmg.82xw;2025-11-20 00:00:00;R$ 13,72;Poker;Blaze;app
W6KM-KUKN-KKD;2025-07-15 00:00:00;23.41;CASSINO;Pixbet;Site
