id_contrato;cpf;dt_contratacao;produto;canal_originacao;valor_contratado;prazo_meses;taxa_juros_am;limite_aprovado;score_bureau;renda_declarada;idade;uf;sexo;status_contrato;fpd_15;over30_3m;over60_6m
C0022147;SU8FEWNULPH;23-07-2025;Emprestimo Pessoal;App;952,35;9;5,98;R$ 2.024,33;807;2090.00;44;GO;M;Ativo;0;0;NAO
C0017283;U9R8U75ALC2;21/06/2025;Emprestimo Pessoal;Parceiro;R$ 352,91;12;9,18;R$ 603,62;577;2860.00;54;SP;M;Cancelado;0;0;NAO
C0020614;4774NJRMY98;09/12/2025;Crediário;Loja;472,84;9;18,00;899,50;341;2390.00;26;CE;F;Ativo;1;1;SIM
C0011379;TQYE9P9TEWS;2025-09-18;Emprestimo Pessoal;loja;2.011,88;6;10,72;2017.30;587;2.890,00;33;BA;M;Cancelado;0;0;NAO
C0025462;R9FLXY6ATSP;29/08/2025;CREDIARIO;site;732,69;9;8,89;1742.25;672;1870.00;31;MG;M;Cancelado;0;0;NAO
C0033196;M2LY5M98AMV;05/07/2025;Crediário;Loja;681,26;10;7,67;R$ 1.344,12;686;1.970,00;32;RS;F;Quitado;0;0;NAO
C0012697;X8MUELHGEBK;20/06/2025;Emprestimo Pessoal;App;1.598,23;3;9,83;R$ 3.047,25;600;2.990,00;44;MG;M;Ativo;0;0;NAO
C0031403;ZYQSXHKUE8R;17/10/2025;Empréstimo Pessoal;Loja;430.46;24;2,50;836,00;809;2.490,00;25;PR;F;Cancelado;0;0;NAO
C0050105;5C7STT3ACSE;07/09/2025;CREDIARIO;SITE;R$ 464,96;12;13,39;951,60;596;N/I;44;CE;M;Ativo;1;1;SIM
C0037755;GVYUJBY4HDF;03-12-2025;ep;App;1.161,79;18;9,30;2347.06;626;4.540,00;45;PA;M;Ativo;0;1;SIM
C0023119;9MNX8KCNHQK;04/06/2025;CREDIARIO;Parceiro;381,77;12;8,66;447,89;740;;52;GO;M;Quitado;0;0;NAO
C0009155;zk4wgachdxf;16/10/2025;Empréstimo Pessoal;App;787.03;18;13,48;R$ 1.415,18;627;2300.00;42;PE;M;Ativo;0;0;NAO
C0028591;2C7ZQM4WJT6;28-09-2025;Cartão;PARCEIRO;736,87;18;12,77;R$ 1.729,63;548;3.940,00;35;RS;F;Ativo;1;1;SIM
C0000430;DQBWKGA643B;04/08/2025;EP;app;580.51;9;12,03;1.038,18;564;4080.00;18;SP;F;Ativo;0;0;NAO
C0049752;Y27SQB6JZTD;2025-08-05;CDC;Loja;777.42;18;8,49;1.088,15;731;R$ 5.610,00;58;BA;M;Ativo;0;0;NAO
C0046054;V37MBJJWGMN;14/08/2025;EP;APP;R$ 1.053,72;12;7,47;R$ 2.197,83;669;1.370,00;37;PE;M;Ativo;0;0;NAO
C0031025;AXP2DWRWLCK;05/11/2025;cdc;Loja;975,60;6;13,93;1031.08;548;-;58;RJ;M;Quitado;0;0;NAO
C0011532;DEZRM46DR7E;28/09/2025;CREDIARIO;APP;741,41;24;13,53;1.258,57;517;2.290,00;50;MG;M;Ativo;0;1;SIM
C0009926;YVCDVVW2NK7;2025-08-20;Cartão;app;978,93;12;4,18;1292.88;650;3.160,00;19;RJ;F;Ativo;0;0;NAO
C0032487;5SKV952S48S;2025-07-05;Crediário;Site;518,89;18;14,99;1.149,97;591;R$ 7.140,00;18;BA;F;Cancelado;0;0;SIM
C0002837;C3G5FSZRP2A;20/07/2025;Empréstimo Pessoal;APP;1.071,73;6;11,80;1593.26;495;2300.00;42;SP;M;Ativo;0;0;NAO
C0044447;25QLUFC5TNW;28/06/2025;cartao;Loja;645,06;9;10,07;1.544,61;592;3130.00;37;MG;M;Ativo;1;1;SIM
C0035121;4UZYHKPUVA5;2025-09-28;cartao;site;198,95;9;5,27;R$ 396,64;691;NULL;52;GO;F;Cancelado;0;1;SIM
C0046606;CNGPC7V8GVF;2025-08-01;EP;APP;1971.99;3;10,46;R$ 3.146,40;545;4.230,00;41;PR;M;Cancelado;0;0;NAO
C0012255;7F4XSDVNBFC;2025-07-08;Cartão;App;460.70;9;8,34;968,04;650;1.470,00;39;MG;M;Cancelado;0;0;NAO
C0008474;R85FS42RH3Q;01/08/2025;EP;App;1819.89;6;11,67;2757.68;594;4.360,00;41;MG;M;Cancelado;0;0;NAO
C0011663;DG527ZEBTTP;2025-08-19;cdc;loja;2556.34;18;18,00;5887.03;446;3.140,00;59;PE;M;Quitado;0;1;SIM
C0011648;SCE6536Z24Q;24/07/2025;ep;Loja;R$ 1.110,06;18;7,09;1459.61;671;2.000,00;62;PE;M;Quitado;0;0;NAO
C0026915;6TGBXPQJBHZ;2025-09-20;CARTAO;App;1093.10;9;8,10;1.962,39;630;3.360,00;31;RS;F;Ativo;1;1;SIM
C0038974;WEAL4EZ9UR6;05/09/2025;CDC;site;1.039,27;9;10,66;R$ 2.163,68;606;1.690,00;36;SP;M;Ativo;0;0;NAO
C0006390;Y9U4J3QKG5Y;2025-09-29;Crediário;loja;R$ 920,72;12;12,01;2.079,03;562;-;41;PR;M;Quitado;0;0;SIM
C0039922;QSVYF55YTWA;05/08/2025;CARTAO;Parceiro;584,99;12;6,89;R$ 946,28;756;1750.00;37;SP;F;Ativo;0;0;NAO
C0051416;6AAU6W45TKV;24/07/2025;Empréstimo Pessoal;Site;831,98;24;2,50;R$ 881,43;877;2530.00;18;SP;M;Ativo;0;0;NAO
C0040977;AW89JWVX79Z;13-06-2025;Crediário;SITE;R$ 287,39;6;12,59;R$ 629,70;559;3.140,00;19;SP;M;Quitado;0;0;NAO
C0010658;Y732U58D2AL;12/10/2025;ep;Site;637,23;12;8,12;1.222,99;659;3340.00;43;PR;F;Ativo;0;0;NAO
C0025745;85MQAT4Y5RB;24/06/2025;ep;LOJA;1239.70;3;3,97;1986.42;734;4.720,00;33;SP;F;Cancelado;0;0;NAO
C0020636;ZHQ2UHMTDMQ;22-07-2025;cartao;app;R$ 2.237,64;9;11,82;R$ 3.534,02;587;4.380,00;41;SC;F;Cancelado;0;1;SIM
C0000096;ZCRXZP72GXZ;18/10/2025;Empréstimo Pessoal;Site;4.336,43;6;6,66;R$ 5.663,30;623;-;53;PA;M;Cancelado;0;0;NAO
C0042869;26WCMPLQ32E;2025-08-02;CDC;site;407.72;9;10,59;R$ 549,64;598;3.660,00;60;SP;F;Ativo;0;0;SIM
C0047300;S4UXRS4F6WA;03-11-2025;CARTAO;site;691.28;18;12,53;1565.74;559;N/I;46;SC;F;Ativo;0;1;SIM
C0012252;GKN2P8VM8TK;13-09-2025;CREDIARIO;Parceiro;1.238,52;18;4,49;2.098,36;735;2.000,00;18;PE;M;Quitado;0;0;NAO
C0038975;7BESPYQANJK;2025-11-09;EP;site;849.03;6;8,44;R$ 1.617,74;723;2.200,00;47;RJ;F;Ativo;0;0;NAO
C0029007;5S7Y9DBYKYM;05/10/2025;EP;Site;801,54;6;7,37;1.569,75;663;6.090,00;24;CE;F;Ativo;0;0;NAO
C0018739;YAU5DP6KVZU;08/06/2025;Crediário;Site;353,86;24;10,27;R$ 777,02;656;2310.00;33;GO;M;Ativo;0;0;NAO
C0040590;HDKK524M82K;16/08/2025;CARTAO;APP;1846.73;18;12,80;4.176,35;575;3.440,00;33;RJ;F;Ativo;0;0;NAO
C0045718; ratrmcqqbdf ;12/08/2025;Emprestimo Pessoal;parceiro;526,28;18;10,64;724.97;640;5.420,00;29;RS;F;Ativo;0;0;NAO
C0004002;JHUW9HKF83L;30/10/2025;Empréstimo Pessoal;loja;1.010,00;6;16,88;1.297,27;-1;NULL;39;DF;F;Cancelado;1;1;SIM
C0019944;QJBKHQ8BQQB;2025-07-15;CARTAO;parceiro;R$ 401,97;6;6,26;R$ 510,39;656;2.140,00;27;SP;M;Ativo;0;0;NAO
C0037064;7G69BMPMXAP;19-08-2025;Crediário;PARCEIRO;439,62;12;13,77;590.66;564;2550.00;47;MG;M;Cancelado;0;0;NAO
C0006864;K8VHKUBCX3Z;01/08/2025;CDC;Loja;338.50;3;8,34;R$ 437,20;648;3.170,00;43;BA;F;Ativo;0;0;NAO
C0024247;TMXE9FDL327;01/10/2025;Empréstimo Pessoal;Loja;247,83;9;8,96;546,15;644;NULL;47;SC;F;Ativo;0;1;SIM
C0032318;6GWQAGA3NPJ;09-09-2025;cdc;Loja;R$ 783,92;12;11,87;R$ 1.853,67;558;NULL;39;SC;M;Ativo;1;1;SIM
C0051251;ZPNS89KFWSJ;2025-10-08;Cartão;App;458.24;9;11,26;R$ 598,11;643;R$ 3.230,00;;SP;M;Ativo;0;0;NAO
C0045495;3E7MQBW83W2;04/09/2025;Crediário;APP;742,86;18;15,99;1.632,55;484;3690.00;49;DF;M;Ativo;0;0;NAO
C0008165;AKPUEC7DCGL;27/11/2025;ep;SITE;222.00;10;14,10;316,27;498;6.770,00;52;SP;M;Cancelado;0;0;NAO
C0023486;FZJNGRNRME6;2025-07-04;cartao;app;199,95;12;9,80;216.93;771;2.060,00;65;PR;F;Ativo;0;0;NAO
C0039193;qt47x7tgqpv;09/11/2025;cdc;Parceiro;R$ 265,03;24;10,90;525,21;626;2750.00;49;RJ;M;Quitado;0;0;NAO
C0047359;ad8zbez2hpd;04/12/2025;EP;app;658,35;6;9,68;R$ 787,05;651;2520.00;18;GO;M;Cancelado;0;0;NAO
C0034278;9M8FQVZRXFK;14/08/2025;EP;PARCEIRO;R$ 1.505,44;12;7,98;3.416,40;680;3940.00;64;SP;M;Cancelado;0;0;SIM
C0039567;3q25lbtmj5b;2025-08-09;CREDIARIO;site;808,89;12;11,25;1.317,90;591;R$ 2.390,00;52;SP;M;Ativo;1;1;SIM
C0021812;VC39EU5U6UB;2025-07-04;CDC;PARCEIRO;514,70;6;12,25;1.003,17;580;950.00;27;RS;F;Ativo;0;0;NAO
C0026927;SYZ3GXTKGVR;21-08-2025;EP;App;457,37;12;8,84;578.67;656;4.570,00;77;PR;F;Ativo;0;0;NAO
C0034776;DQKH6R2VMZX;03/06/2025;Emprestimo Pessoal;Site;910,74;10;13,61;1.213,11;516;2.620,00;39;BA;M;Ativo;0;0;NAO
C0026826;HPQ36A34VLT;2025-09-10;cartao;app;485,79;12;6,98;R$ 1.091,53;676;5.880,00;49;SP;F;Ativo;0;0;NAO
C0047614;F8FJ3LYSDAS;31/08/2025;Cartão;Loja;885,01;3;14,03;1.585,84;503;1.530,00;46;MG;M;Ativo;0;0;SIM
C0001707;F8NPEJWPUGC;05/08/2025;CREDIARIO;Site;R$ 393,21;18;10,04;544.30;664;4.230,00;63;SP;M;Ativo;0;0;NAO
C0034490;dbtnyap8xv3;25/10/2025;EP;LOJA;R$ 1.336,38;18;10,46;R$ 2.747,05;;6.010,00;75;RS;M;Cancelado;0;0;NAO
C0010495;jm94vk459xh;01-10-2025;CDC;APP;R$ 459,37;12;7,67;710,73;652;2.300,00;40;SP;M;Ativo;0;0;NAO
C0006428;7D5DQFUA5R5;31/10/2025;CDC;Parceiro;1.635,86;12;10,86;3.694,98;546;-;23;BA;F;Quitado;1;1;SIM
C0021138;lpqttvtaypc;19/06/2025;EP;App;791.03;9;3,25;R$ 1.062,32;808;2.670,00;49;DF;M;Ativo;0;0;NAO
C0017547;3JYDF9VAUY3;07/10/2025;ep;site;R$ 713,66;10;10,28;1.246,24;561;3580.00;39;MG;F;Quitado;0;0;NAO
C0006054;4DZDCDZQVJD;26/07/2025;Cartão;APP;469.62;12;11,78;619,05;517;;60;SP;F;Ativo;0;0;NAO
C0016324; YPDFLJLSP9D ;25/09/2025;Emprestimo Pessoal;Site;438,73;12;5,68;773,59;709;3000.00;30;RS;M;Ativo;0;0;NAO
C0009356;ENZGRDAHYSK;16/10/2025;EP;Loja;623.68;10;10,36;1.132,21;572;3430.00;19;SP;F;Ativo;1;1;SIM
C0033386;vpqkcnf865q;29/09/2025;cartao;site;957.10;12;5,79;R$ 2.245,00;696;1.480,00;47;DF;F;Cancelado;0;0;NAO
C0014312;8TUFW5ELPQH;2025-11-18;EP;app;1.333,07;12;11,87;2.441,38;668;4.330,00;24;RS;M;Ativo;0;0;SIM
C0012841;6N98F5CED95;14/10/2025;CREDIARIO;App;473,13;10;10,93;617,42;594;3.060,00;43;DF;F;Ativo;0;0;NAO
C0007151;RP5N26FZCWH;20/08/2025;CREDIARIO;site;1.130,50;10;7,62;1968.75;715;3.560,00;53;GO;M;Ativo;0;0;NAO
C0025416;CTJPLYWF72N;29/09/2025;CARTAO;Loja;R$ 1.061,46;24;14,31;2086.67;516;1.700,00;30;SC;M;Ativo;1;1;SIM
C0006808;N3KYU6NHNXP;2025-09-27;CREDIARIO;loja;953,45;24;11,66;1.128,22;590;3.130,00;42;PE;M;Cancelado;0;1;SIM
C0049546;GAU3MBW6FFM;23/07/2025;EP;Site;534.71;9;10,24;767,84;623;3.790,00;27;DF;M;Ativo;0;0;NAO
C0029499;3E83BZCVYRY;24/09/2025;Crediário;SITE;552,30;12;11,72;R$ 715,92;643;2.320,00;31;PA;M;Ativo;0;0;NAO
C0039566;5BGJXC2CFAY;08-09-2025;Empréstimo Pessoal;App;1155.40;12;10,73;R$ 2.760,84;609;960.00;52;SP;F;Ativo;0;0;NAO
C0005334;FRGPMG3S44J;11-09-2025;CARTAO;SITE;544.34;9;17,25;830,50;419;;;PE;M;Quitado;0;1;SIM
C0019108;8GTY3NHPY8K;30/09/2025;EP;APP;1258.63;24;8,45;2.191,41;696;3490.00;48;SP;M;Ativo;0;0;NAO
C0023148;L7V98DQ8LAU;13/07/2025;EP;PARCEIRO;719,94;9;11,19;R$ 1.053,03;590;N/I;38;RJ;F;Quitado;0;0;NAO
C0038377;QKRJNP494DE;07/08/2025;CREDIARIO;APP;212,22;24;7,55;460,47;641;4760.00;32;SP;F;Quitado;1;1;SIM
C0022274; R8CZAV5UGTJ ;2025-11-05;Crediário;APP;672,04;9;8,67;1.361,79;721;2680.00;36;PR;M;Ativo;1;1;SIM
C0000292;CLFFFB4BNY9;2025-07-31;Emprestimo Pessoal;Parceiro;797,56;18;2,50;1563.01;770;N/I;52;BA;F;Ativo;0;0;NAO
C0010438;XHNTRDFCV9W;2025-06-16;ep;APP;1.082,07;18;5,85;1.992,59;651;1.040,00;18;SP;M;Ativo;0;0;NAO
C0023000;CWAYCCXS8CK;27-06-2025;CREDIARIO;loja;2.202,22;6;8,86;3.118,62;557;R$ 2.850,00;53;GO;M;Ativo;0;0;SIM
C0030452;Z7GXFZ9CC98;2025-10-16;Crediário;App;836,18;10;9,26;R$ 904,07;624;2830.00;52;MG;M;Ativo;0;0;NAO
C0001377;KDE4QS8BG4T;30/10/2025;Empréstimo Pessoal;LOJA;270,95;6;9,05;491,76;653;NULL;22;MG;M;Ativo;0;0;NAO
C0014114;J98VK9G5P5K;21/08/2025;CARTAO;SITE;305,08;9;5,22;656,65;797;R$ 1.400,00;49;SP;F;Ativo;0;0;NAO
C0032302;SBWS8AT3TDX;2025-06-27;Crediário;Loja;780.10;6;5,38;1586.10;804;2240.00;34;RJ;M;Ativo;0;0;NAO
C0042557;QKZEG66P9SM;16/07/2025;CDC;app;697.84;12;12,51;904.36;615;2770.00;53;SP;F;Quitado;0;0;NAO
C0013952;LQ4YSRJSD3Q;06/07/2025;cartao;APP;666,62;12;6,88;R$ 767,18;777;2800.00;33;MG;M;Ativo;0;0;NAO
C0021343;QNMFPRPN9H4;21/07/2025;Cartão;LOJA;1.109,81;18;10,68;1.285,40;700;5050.00;65;SC;F;Quitado;0;1;SIM
C0040425;GZMJ9PAYTMF;02-09-2025;cartao;site;926,28;12;10,09;1.127,77;637;1.220,00;42;RJ;M;Quitado;0;0;NAO
C0019197; RJS22EG4K6E ;02-08-2025;ep;Parceiro;151,37;6;10,49;273,38;688;3630.00;46;PR;F;Quitado;0;0;NAO
C0049123;YHZC4T4W5S8;01/11/2025;cartao;APP;778.26;6;10,45;1.094,28;628;R$ 2.120,00;38;BA;F;Ativo;0;0;NAO
C0015922;GVUXJ3ZWSRQ;18/08/2025;cartao;site;520,15;12;11,05;759,61;-1;1.800,00;27;RS;F;Cancelado;0;0;NAO
C0026127;744LYJHALKB;2025-11-05;cartao;LOJA;274,74;18;17,16;624,31;440;;36;SP;F;Ativo;1;1;SIM
C0040894;HK4HKG8N2HH;27/06/2025;EP;SITE;961,01;18;7,08;1.801,79;628;2.700,00;43;GO;F;Quitado;0;1;SIM
C0002456;YBMWJVQ8K7W;19/10/2025;CDC;App;583,98;12;13,14;R$ 767,41;577;3160.00;48;RJ;F;Cancelado;0;1;SIM
C0016406;BBETFFH6KXM;26-10-2025;CREDIARIO;Site;672,37;3;9,92;1.035,56;612;2.920,00;29;SP;F;Ativo;0;1;SIM
C0021285;L2HY3UA38L9;10-08-2025;ep;Parceiro;550,97;24;12,77;647,83;601;7.360,00;27;SP;M;Ativo;0;0;NAO
C0016802;J2G4SHQW9CM;23/11/2025;Emprestimo Pessoal;Site;380.18;6;15,88;714,94;448;2.850,00;34;RJ;M;Ativo;0;0;NAO
C0003081;P8NT6ATY6BZ;02/08/2025;cartao;SITE;2478.93;12;10,31;2778.86;640;2.240,00;38;RS;F;Quitado;0;0;NAO
C0036064;QS2WYBAW7EX;25/06/2025;Empréstimo Pessoal;site;463,25;9;7,10;1018.16;651;R$ 1.300,00;33;SP;M;Cancelado;0;0;NAO
C0028427;4V4VN23AXHD;2025-07-08;EP;APP;R$ 494,13;9;10,88;942,85;534;;39;PA;M;Ativo;0;1;SIM
C0003575;SMPZLP3TQZK;2025-08-01;CREDIARIO;Loja;271,61;12;13,43;447,95;529;R$ 3.130,00;25;SP;M;Ativo;0;0;SIM
C0046811;8SL3K8PWVBD;2025-11-13;CDC;PARCEIRO;646,59;9;4,87;1.512,25;780;0;60;DF;M;Ativo;0;0;NAO
C0046780;C8ZJBUNS654;2025-10-15;Cartão;APP;566,13;3;10,14;R$ 696,56;705;R$ 3.130,00;58;SP;F;Ativo;0;0;NAO
C0046873;MVLYVQHUWWL;2025-12-07;Emprestimo Pessoal;loja;1562.03;9;9,69;3672.86;554;3.590,00;18;SP;M;Ativo;0;0;NAO
C0028896;GAPB83ZRDU6;16/08/2025;CARTAO;Site;441,59;10;6,52;R$ 668,81;663;0;18;GO;F;Ativo;0;0;NAO
C0002437;R2KS9HHH7S7;08/10/2025;Crediário;parceiro;412,00;9;8,81;715.52;607;2190.00;45;SP;F;Quitado;0;0;NAO
C0024029;hdgzj79x9w9;25-09-2025;Cartão;Loja;1202.23;6;13,13;1985.16;502;5.260,00;39;SP;M;Ativo;0;0;NAO
C0007846;GQTJV7DHQF2;09/06/2025;CARTAO;site;635,91;9;9,52;R$ 1.264,68;690;N/I;54;CE;F;Quitado;0;0;NAO
C0043789;ZFJ2AFAFCMT;20-10-2025;ep;SITE;2151.50;18;8,52;R$ 4.724,64;635;3.850,00;45;MG;M;Ativo;0;0;NAO
C0009927;YST2KQB3S6K;12/09/2025;Emprestimo Pessoal;PARCEIRO;624,29;12;12,78;721,58;505;1.830,00;69;DF;M;Quitado;0;0;NAO
C0002272;NYNC5MUZCZM;02/08/2025;CARTAO;App;3.530,28;12;9,42;7965.04;716;3.270,00;18;GO;F;Cancelado;0;0;NAO
C0023831;ZY6PJLSJPGK;2025-08-22;CDC;App;410.89;24;11,89;716.40;509;1.900,00;22;SP;M;Ativo;0;0;SIM
C0044201;SLWDTMNJY29;25-11-2025;ep;parceiro;R$ 731,52;6;9,66;1.587,17;610;R$ 2.040,00;48;MG;M;Ativo;0;0;NAO
C0029835;9SNW2YACW8S;2025-07-27;Cartão;APP;764,49;6;5,93;1.244,96;738;R$ 2.670,00;32;SP;F;Ativo;0;0;NAO
C0018730;4X3AUKAYW63;01/08/2025;ep;app;R$ 552,32;6;6,80;1147.76;710;3.360,00;40;PA;F;Cancelado;0;0;SIM
C0003960;QE364DJLDSB;14/12/2025;Empréstimo Pessoal;app;364.54;6;6,66;541,43;770;2.620,00;52;PR;F;Ativo;0;0;NAO
